area,competition,season,id,utcDate,status,matchday,stage,group,lastUpdated,homeTeam,awayTeam,score,odds,referees
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554824,2026-04-01T23:30:00Z,FINISHED,9,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 4241, 'name': 'Coritiba FBC', 'shortName': 'Coritiba', 'tla': 'COR', 'crest': 'https://crests.football-data.org/4241.png'}","{'id': 1780, 'name': 'CR Vasco da Gama', 'shortName': 'Vasco da Gama', 'tla': 'VAS', 'crest': 'https://crests.football-data.org/1780.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 0, 'away': 1}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 18754, 'name': 'Ramon Abatti Abel', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554826,2026-04-02T00:30:00Z,FINISHED,9,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1765, 'name': 'Fluminense FC', 'shortName': 'Fluminense', 'tla': 'FLU', 'crest': 'https://crests.football-data.org/1765.png'}","{'id': 1779, 'name': 'SC Corinthians Paulista', 'shortName': 'Corinthians', 'tla': 'COR', 'crest': 'https://crests.football-data.org/1779.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 2, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 244605, 'name': 'Davi de Oliveira Lacerda', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554823,2026-04-02T22:00:00Z,FINISHED,9,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1772, 'name': 'Chapecoense AF', 'shortName': 'Chapecoense', 'tla': 'CHA', 'crest': 'https://crests.football-data.org/1772_large.png'}","{'id': 1766, 'name': 'CA Mineiro', 'shortName': 'Mineiro', 'tla': 'CAM', 'crest': 'https://crests.football-data.org/1766.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 4}, 'halfTime': {'home': 0, 'away': 3}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 147370, 'name': 'João Vitor Gobi', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554829,2026-04-02T22:00:00Z,FINISHED,9,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 6685, 'name': 'Santos FC', 'shortName': 'Santos', 'tla': 'SAN', 'crest': 'https://crests.football-data.org/6685.png'}","{'id': 4287, 'name': 'Clube do Remo', 'shortName': 'Clube do Remo', 'tla': 'CRE', 'crest': 'https://crests.football-data.org/4287.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 0}, 'halfTime': {'home': 1, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 206907, 'name': 'Savio Pereira Sampaio', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554822,2026-04-03T00:30:00Z,FINISHED,9,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 4286, 'name': 'RB Bragantino', 'shortName': 'Bragantino', 'tla': 'RBB', 'crest': 'https://crests.football-data.org/4286.png'}","{'id': 1783, 'name': 'CR Flamengo', 'shortName': 'Flamengo', 'tla': 'FLA', 'crest': 'https://crests.football-data.org/1783.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 0}, 'halfTime': {'home': 2, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 250860, 'name': 'Fernando de Salles Nascimento', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554828,2026-04-03T00:30:00Z,FINISHED,9,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1769, 'name': 'SE Palmeiras', 'shortName': 'Palmeiras', 'tla': 'PAL', 'crest': 'https://crests.football-data.org/1769.png'}","{'id': 1767, 'name': 'Grêmio FBPA', 'shortName': 'Grêmio', 'tla': 'FBP', 'crest': 'https://crests.football-data.org/1767.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 206800, 'name': 'Bruno de Araújo', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554838,2026-04-04T21:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1776, 'name': 'São Paulo FC', 'shortName': 'São Paulo', 'tla': 'PAU', 'crest': 'https://crests.football-data.org/1776.png'}","{'id': 1771, 'name': 'Cruzeiro EC', 'shortName': 'Cruzeiro', 'tla': 'CRU', 'crest': 'https://crests.football-data.org/1771.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 4, 'away': 1}, 'halfTime': {'home': 2, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 206944, 'name': 'Rodrigo Pereira de Lima', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554834,2026-04-04T23:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 4241, 'name': 'Coritiba FBC', 'shortName': 'Coritiba', 'tla': 'COR', 'crest': 'https://crests.football-data.org/4241.png'}","{'id': 1765, 'name': 'Fluminense FC', 'shortName': 'Fluminense', 'tla': 'FLU', 'crest': 'https://crests.football-data.org/1765.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 206917, 'name': 'Rafael Klein', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554839,2026-04-05T00:00:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1780, 'name': 'CR Vasco da Gama', 'shortName': 'Vasco da Gama', 'tla': 'VAS', 'crest': 'https://crests.football-data.org/1780.png'}","{'id': 1770, 'name': 'Botafogo FR', 'shortName': 'Botafogo', 'tla': 'BOT', 'crest': 'https://crests.football-data.org/1770.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 2}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11277, 'name': 'Wagner do Nascimento Magalhaes', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554832,2026-04-05T19:00:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1772, 'name': 'Chapecoense AF', 'shortName': 'Chapecoense', 'tla': 'CHA', 'crest': 'https://crests.football-data.org/1772_large.png'}","{'id': 1782, 'name': 'EC Vitória', 'shortName': 'Vitória', 'tla': 'VIT', 'crest': 'https://crests.football-data.org/1782.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 19023, 'name': 'Jonathan Benkenstein Pinheiro', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554830,2026-04-05T20:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1766, 'name': 'CA Mineiro', 'shortName': 'Mineiro', 'tla': 'CAM', 'crest': 'https://crests.football-data.org/1766.png'}","{'id': 1768, 'name': 'CA Paranaense', 'shortName': 'Paranaense', 'tla': 'CAP', 'crest': 'https://crests.football-data.org/1768.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 206929, 'name': 'Matheus Delgado Candançan', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554835,2026-04-05T20:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1783, 'name': 'CR Flamengo', 'shortName': 'Flamengo', 'tla': 'FLA', 'crest': 'https://crests.football-data.org/1783.png'}","{'id': 6685, 'name': 'Santos FC', 'shortName': 'Santos', 'tla': 'SAN', 'crest': 'https://crests.football-data.org/6685.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11161, 'name': 'Anderson Daronco', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554831,2026-04-05T22:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1777, 'name': 'EC Bahia', 'shortName': 'Bahia', 'tla': 'BAH', 'crest': 'https://crests.football-data.org/1777.png'}","{'id': 1769, 'name': 'SE Palmeiras', 'shortName': 'Palmeiras', 'tla': 'PAL', 'crest': 'https://crests.football-data.org/1769.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 2}, 'halfTime': {'home': 0, 'away': 1}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 265146, 'name': 'Lucas Casagrande', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554833,2026-04-05T22:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1779, 'name': 'SC Corinthians Paulista', 'shortName': 'Corinthians', 'tla': 'COR', 'crest': 'https://crests.football-data.org/1779.png'}","{'id': 6684, 'name': 'SC Internacional', 'shortName': 'Internacional', 'tla': 'SCI', 'crest': 'https://crests.football-data.org/6684.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 60899, 'name': 'Felipe Fernandes de Lima', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554837,2026-04-05T23:00:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 4364, 'name': 'Mirassol FC', 'shortName': 'Mirassol', 'tla': 'MIR', 'crest': 'https://crests.football-data.org/4364.png'}","{'id': 4286, 'name': 'RB Bragantino', 'shortName': 'Bragantino', 'tla': 'RBB', 'crest': 'https://crests.football-data.org/4286.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11237, 'name': 'Flavio Rodrigues De Souza', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554836,2026-04-05T23:30:00Z,FINISHED,10,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1767, 'name': 'Grêmio FBPA', 'shortName': 'Grêmio', 'tla': 'FBP', 'crest': 'https://crests.football-data.org/1767.png'}","{'id': 4287, 'name': 'Clube do Remo', 'shortName': 'Clube do Remo', 'tla': 'CRE', 'crest': 'https://crests.football-data.org/4287.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 0}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 60939, 'name': 'Edina Alves Batista', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554847,2026-04-11T19:30:00Z,FINISHED,11,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 4287, 'name': 'Clube do Remo', 'shortName': 'Clube do Remo', 'tla': 'CRE', 'crest': 'https://crests.football-data.org/4287.png'}","{'id': 1780, 'name': 'CR Vasco da Gama', 'shortName': 'Vasco da Gama', 'tla': 'VAS', 'crest': 'https://crests.football-data.org/1780.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 206944, 'name': 'Rodrigo Pereira de Lima', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}","{'id': 2013, 'name': 'Campeonato Brasileiro Série A', 'code': 'BSA', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/bsa.png'}","{'id': 2474, 'startDate': '2026-01-28', 'endDate': '2026-12-02', 'currentMatchday': 19, 'winner': None}",554849,2026-04-11T19:30:00Z,FINISHED,11,REGULAR_SEASON,,2026-07-09T05:20:10Z,"{'id': 1782, 'name': 'EC Vitória', 'shortName': 'Vitória', 'tla': 'VIT', 'crest': 'https://crests.football-data.org/1782.png'}","{'id': 1776, 'name': 'São Paulo FC', 'shortName': 'São Paulo', 'tla': 'PAU', 'crest': 'https://crests.football-data.org/1776.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 0}, 'halfTime': {'home': 1, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11161, 'name': 'Anderson Daronco', 'type': 'REFEREE', 'nationality': 'Brazil'}]"
